"國內生產毛額依支出分-季(1981以後) 依 期間, 計價方式, 種類 與 項目"

" "," 平減指數(2016年=100)"," "
" ","原始值"," "
" ","2.政府消費","8.GDP"
"1981Q1",48.18,70.74
"1981Q2",48.11,71.87
"1981Q3",48.52,72.92
"1981Q4",48.19,71.68
"1982Q1",51.09,73.92
"1982Q2",50.11,73.90
"1982Q3",51.12,74.15
"1982Q4",49.94,72.47
"1983Q1",51.71,76.05
"1983Q2",51.51,76.55
"1983Q3",51.18,75.51
"1983Q4",49.83,74.28
"1984Q1",51.54,77.13
"1984Q2",51.55,77.49
"1984Q3",52.88,76.95
"1984Q4",51.29,74.68
"1985Q1",55.30,77.68
"1985Q2",51.77,76.96
"1985Q3",51.21,76.50
"1985Q4",50.69,75.23
"1986Q1",59.11,80.56
"1986Q2",51.62,80.41
"1986Q3",50.64,81.18
"1986Q4",50.09,79.17
"1987Q1",59.37,81.86
"1987Q2",51.67,79.69
"1987Q3",51.54,80.86
"1987Q4",51.53,79.11
"1988Q1",61.07,81.11
"1988Q2",53.85,79.37
"1988Q3",54.02,80.63
"1988Q4",54.31,80.49
"1989Q1",64.42,83.32
"1989Q2",57.02,81.21
"1989Q3",56.18,81.88
"1989Q4",58.03,83.47
"1990Q1",67.76,87.62
"1990Q2",59.94,86.63
"1990Q3",60.43,85.58
"1990Q4",62.00,87.00
"1991Q1",72.12,91.05
"1991Q2",63.09,89.49
"1991Q3",62.91,88.54
"1991Q4",64.34,89.89
"1992Q1",74.97,93.21
"1992Q2",66.38,92.11
"1992Q3",65.74,91.32
"1992Q4",66.90,93.75
"1993Q1",77.11,97.24
"1993Q2",68.25,95.40
"1993Q3",68.49,94.74
"1993Q4",68.01,95.97
"1994Q1",79.85,99.37
"1994Q2",69.80,96.81
"1994Q3",70.58,96.49
"1994Q4",69.96,97.30
"1995Q1",81.21,100.22
"1995Q2",72.23,98.37
"1995Q3",72.07,98.89
"1995Q4",72.20,101.55
"1996Q1",84.51,103.58
"1996Q2",73.37,101.37
"1996Q3",74.09,101.61
"1996Q4",73.82,101.95
"1997Q1",87.61,106.18
"1997Q2",74.88,102.57
"1997Q3",76.58,102.59
"1997Q4",75.63,106.09
"1998Q1",89.28,110.55
"1998Q2",76.47,107.04
"1998Q3",78.59,106.07
"1998Q4",77.83,107.53
"1999Q1",91.29,110.00
"1999Q2",77.80,104.83
"1999Q3",79.77,103.75
"1999Q4",78.60,104.46
"2000Q1",94.26,107.38
"2000Q2",78.46,102.81
"2000Q3",80.72,103.35
"2000Q4",79.23,105.45
"2001Q1",97.70,107.16
"2001Q2",80.25,102.63
"2001Q3",82.36,102.83
"2001Q4",80.78,103.68
"2002Q1",98.47,107.60
"2002Q2",80.93,101.88
"2002Q3",83.16,103.31
"2002Q4",81.62,102.09
"2003Q1",99.88,105.17
"2003Q2",81.73,102.56
"2003Q3",84.10,101.45
"2003Q4",82.96,99.96
"2004Q1",101.71,104.09
"2004Q2",82.97,101.61
"2004Q3",84.38,101.54
"2004Q4",83.42,98.75
"2005Q1",104.06,103.20
"2005Q2",84.44,98.71
"2005Q3",86.39,99.34
"2005Q4",85.04,98.62
"2006Q1",106.67,101.59
"2006Q2",85.19,98.13
"2006Q3",87.37,97.75
"2006Q4",86.61,97.40
"2007Q1",107.79,100.93
"2007Q2",86.79,96.87
"2007Q3",88.58,97.68
"2007Q4",88.41,97.29
"2008Q1",108.36,98.48
"2008Q2",88.76,95.14
"2008Q3",89.84,93.01
"2008Q4",90.02,95.62
"2009Q1",110.23,99.94
"2009Q2",87.53,94.67
"2009Q3",90.11,94.74
"2009Q4",89.22,93.77
"2010Q1",110.37,98.34
"2010Q2",88.39,94.45
"2010Q3",90.21,93.76
"2010Q4",91.69,91.59
"2011Q1",109.76,95.95
"2011Q2",89.82,90.74
"2011Q3",93.21,91.82
"2011Q4",91.80,91.21
"2012Q1",113.15,95.48
"2012Q2",91.84,92.15
"2012Q3",93.98,92.72
"2012Q4",92.82,91.89
"2013Q1",113.22,96.64
"2013Q2",92.78,93.79
"2013Q3",93.69,93.74
"2013Q4",92.98,93.72
"2014Q1",113.49,97.17
"2014Q2",92.80,95.29
"2014Q3",94.62,95.36
"2014Q4",94.28,96.26
"2015Q1",115.46,101.16
"2015Q2",93.23,98.02
"2015Q3",94.62,99.07
"2015Q4",93.61,98.82
"2016Q1",116.11,103.71
"2016Q2",95.08,98.73
"2016Q3",95.60,98.60
"2016Q4",94.68,99.20
"2017Q1",117.38,102.47
"2017Q2",95.22,97.27
"2017Q3",96.67,98.68
"2017Q4",95.29,98.38
"2018Q1",115.16,101.20
"2018Q2",100.58,97.69
"2018Q3",93.94,97.08
"2018Q4",99.43,97.93
"2019Q1",116.71,101.14
"2019Q2",100.61,98.02
"2019Q3",96.18,98.01
"2019Q4",99.23,97.95

" "
"(http://www.stat.gov.tw/lp.asp?ctNode=2404&CtUnit=1088&BaseDSD=7) "
"more "
"(http://www.stat.gov.tw/lp.asp?CtNode=1829&CtUnit=690&BaseDSD=7&xq_xC-"
"at=17) 國情統計通報 "
"2019Q3為修正數，2019年Q4為初步統計數  "
" "

